primary_name,Type,GAMES,CHARGESPERPERSON,DURATION,ANYOutdoorINFORMATION,MINMAXCAPONNUMBEROFGUESTS
Sterling Kodai Lake,Indoor,Bottle Painting,300+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Kodai Lake,Indoor,Emboss painting,500+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Kodai Lake,Indoor,Greeting Card Making,NA,,,Min 1/Max 1
Sterling Kodai Lake,Indoor,Paper craft,NA,,,Min 1/Max 1
Sterling Kodai Lake,Indoor,Paper Drawing,NA,,,Min 1/Max 1
Sterling Kodai Lake,Outdoor,House DJ,35000 + (18% Gst + 5% SC),2 - 3 Hours,Novex. PPL to be obtained as per size of the group. Until 10pm,Group
Sterling Kodai Lake,Outdoor,Professional DJ,50000 + (18% Gst + 5% SC),2 - 3 Hours,Novex. PPL to be obtained as per size of the group. Until 10pm,Group
Sterling Kodai Lake,Outdoor,Bonfire,12000+(18% Gst + 5% SC),2 - 3 hours,Until 10 pm,Group or Individual
Sterling Kodai Lake,Outdoor,Bonfire with Soft Music,15000 + (18% Gst + 5% SC),2 - 3 hours,Until 10 pm,Group or Individual
Sterling Kodai Lake,Outdoor,Team Building Activity,15000+(18% Gst + 5% SC),2 hours,,Group
Sterling Kodai Lake,Outdoor,Jeep Ride,10000 + (18% Gst + 5% SC),2 hours,,Min 1/Max 7
Sterling Kodai Lake,Outdoor,Jeep Ride,3500 + (18% Gst + 5% SC),2 hours,,Min 1/Max 7
Sterling Kodai Lake,Evening,Family Fun games,,,Everyday between 7:30 pm to 8:30pm (varies as per availability and guest choice),
Sterling Kodai Lake,Evening,DJ with Bonfire,,,Everyday between 7:30 pm to 8:30pm (varies as per availability and guest choice),
Sterling Kodai Lake,Evening,Karaoke night,,,Everyday between 7:30 pm to 8:30pm (varies as per availability and guest choice),
Sterling Kodai Lake,Evening,Musical Masti and Games,,,Everyday between 7:30 pm to 8:30pm (varies as per availability and guest choice),
Sterling Kodai Lake,Evening,Housie,,,Everyday between 7:30 pm to 8:30pm (varies as per availability and guest choice),
Sterling Kodai Lake,Evening,Treasure hunt,,,Everyday between 7:30 pm to 8:30pm (varies as per availability and guest choice),
Sterling Kodai Lake,Evening,Dandiya Dance,,,Everyday between 7:30 pm to 8:30pm (varies as per availability and guest choice),
Sterling Ooty Elk Hill,Indoor,Table Tennis,Complimentary,,They can play singles and doubles also,Min 2/Max 4
Sterling Ooty Elk Hill,Indoor,Air hockey,100+(18% Gst + 5% SC),10 mins,In between they want to change a player they can change,Min 2/Max 2
Sterling Ooty Elk Hill,Indoor,X Box 360,200+(18% Gst + 5% SC),20 mins,In between they want to change a player they can change,Min 1/Max 2
Sterling Ooty Elk Hill,Indoor,Ps4,200+(18% Gst + 5% SC),30 mins,In between they want to change a player they can change,Min 1/Max 2
Sterling Ooty Elk Hill,Indoor,VR,200+(18% Gst + 5% SC),20 mins,In between they want to change a player they can change,Min 1/Max 1
Sterling Ooty Elk Hill,Indoor,Board games,Complimentary,,Its group game,Min 2 /Max 6
Sterling Ooty Elk Hill,Indoor,Arts & Craft,300+(18% Gst + 5% SC),30-45min,,Min 1/Max 1
Sterling Ooty Elk Hill,Outdoor,Water pallet shooting,250+(18% Gst + 5% SC),5 -10mins,Loaded with 250 water pallets,Min 1/Max 1
Sterling Ooty Elk Hill,Outdoor,Archery,100+(18% Gst + 5% SC),8 shots,In between they want to change a player they can change,Min 1/Max 1
Sterling Ooty Elk Hill,Outdoor,Paint Ball (Target Shooting),161+(18% Gst + 5% SC),12 pallets,In between they want to change a player they can change,Min 1
Sterling Lake Palace Alleppey,Indoor,Table Tennis,NA,,,Min 2/Max 4
Sterling Lake Palace Alleppey,Indoor,Pool Table,"199+18% GST, Optional - 5% Service Charge",30 mins,,Min 2
Sterling Lake Palace Alleppey,Indoor,VR GAME,"350+18% GST, Optional - 5% Service Charge",30 mins,,Min 1/Max 1
Sterling Lake Palace Alleppey,Indoor,CARROM,NA,,,Min 2/Max 2
Sterling Lake Palace Alleppey,Indoor,CHESS,NA,,,Min 2/Max 2
Sterling Lake Palace Alleppey,Indoor,WATER PELLET,"350+18% GST, Optional - 5% Service Charge (100 pellets)",,,Min 1 /Max 1
Sterling Lake Palace Alleppey,Indoor,LUDO BOARD,NA,,,Min 2 /Max 4
Sterling Lake Palace Alleppey,Indoor,Funny frog,100 + tax 1 game,1 game,,1
Sterling Lake Palace Alleppey,Indoor,vr game,350+ tax,30 mins,,1
Sterling Lake Palace Alleppey,Indoor,DJ NIGHT,NA,,,
Sterling Lake Palace Alleppey,Outdoor,MINI GOLF,COMP,,,Min 1 / Max 1
Sterling Lake Palace Alleppey,Outdoor,ARCHERY,COMP,,,Min 1 / Max 1
Sterling Lake Palace Alleppey,Outdoor,BADMINTON,COMP,,,Min 2 / Max 4
Sterling Lake Palace Alleppey,Outdoor,PEDDLE BOAT,COMP,30 mins,,Min 1 / Max 2
Sterling Lake Palace Alleppey,Outdoor,FISHING,COMP,,,Min 1 / Max 1
Sterling Lake Palace Alleppey,Outdoor,CHILDRENS PLAY AREA,COMP,,,Min 1 / Max 1
Sterling Lake Palace Alleppey,Outdoor,SUNSET CRUISE,COMP,,,Min 1 / Max 30
Sterling Lake Palace Alleppey,Outdoor,JETSKI,"2000+18% GST, Optional - 5% Service Charge",10 Mins,,Min 1 / Max 1
Sterling Lake Palace Alleppey,Outdoor,SHIKARA BOAT,"2000+18% GST, Optional - 5% Service Charge",1 hour,,Min 1 / Max 6
Sterling Lake Palace Alleppey,Outdoor,KAYAKING,"750+18% GST, Optional - 5% Service Charge",30 mins,,Min 1 / Max 1
Sterling Lake Palace Alleppey,Outdoor,KAYAKING,"1000+18% GST, Optional - 5% Service Charge",30 mins,,Min 2 / Max 2
Sterling Lake Palace Alleppey,Outdoor,SPEED BOAT,"2000+18% GST, Optional - 5% Service Charge",10 Mins,,Min 1 / Max 3
Sterling Lake Palace Alleppey,Outdoor,Archery,250+tax,10 shots,,Min 1 / Max 1
Sterling Lake Palace Alleppey,Outdoor,Air gun,250 + tax,10 shots,,Min 1 / Max 1
Sterling Lake Palace Alleppey,Outdoor,Aqua Zorbing,300+ tax,10 Mins,,Min 1 / Max 1
Sterling Lake Palace Alleppey,Outdoor,Kiddy boat,300+ tax,15 mins,,Min 1 / Max 1
Sterling Lake Palace Alleppey,Outdoor,Electrick Cycle,350+ tax,15 mins,,Min 1 / Max 1
Sterling Lake Palace Alleppey,Outdoor,Regular Cycle,350+ tax,15 mins,,Min 1 / Max 1
Sterling Lake Palace Alleppey,Outdoor,Kiddy Car,350+ tax,10 Mins,,Min 1 / Max 1
Sterling Lake Palace Alleppey,Outdoor,Water pallet shooting,350+ tax,100 pellets,,Min 1 / Max 1
Sterling Lake Palace Alleppey,Outdoor,Mini Golf,comp,comp,,Min 1 / Max 3
Sterling Lake Palace Alleppey,Outdoor,Badminton court,comp,comp,,Min 2 / Max 4
Sterling Munnar,Indoor,Table Tennis,Comp,,,Min 2/Max 4
Sterling Munnar,Indoor,Pool Table,250,30 mins,,Min 2/Max 4
Sterling Munnar,Indoor,Video Game,250,30 mins,,Min 1/Max 2
Sterling Munnar,Indoor,VR Games,250,15 mins,,Max 1
Sterling Munnar,Indoor,Choice of Board Games,Comp,,,
Sterling Munnar,Indoor,Air hockey,125,15 mins,,Min 2
Sterling Munnar,Indoor,Carrom Board,Comp,,,
Sterling Munnar,Indoor,DJ Corner,Comp,1 hour,,
Sterling Munnar,Indoor,Toddler Corner,Comp,,,
Sterling Munnar,Indoor,Playing Cards,Comp,,,
Sterling Munnar,Indoor,Library,Comp,,,
Sterling Munnar,Outdoor,Paint ball,250 Net,,10 Shots,
Sterling Munnar,Outdoor,Trampoline,150 Net,,15 Min,
Sterling Munnar,Outdoor,Gun Shooting,150 Net,,10 Shots,
Sterling Munnar,Outdoor,Archery,150 Net,,10 Shots,
Sterling Munnar,Outdoor,ATV Ride,250 Net,,1 Lap,
Sterling Munnar,Outdoor,Water Gun,250 Net,,one magazine,
Sterling Munnar,Outdoor,Zip line,375 Net,,one Trip,
Sterling Munnar,Outdoor,Burma Bridge,375 Net,,one Trip,
Sterling Munnar,Outdoor,Sky Cycle,375 Net,,one Trip,
Sterling Munnar,Outdoor,Multivine,375 Net,,one Trip,
Sterling Munnar,Outdoor,Kids Car,250 Net,,15 min,
Sterling Thekkady,Indoor,Table Tennis,,,,
Sterling Thekkady,Indoor,Carrom,,,,
Sterling Thekkady,Indoor,Chess,,,,
Sterling Thekkady,Indoor,Snake And Ladder,,,,
Sterling Thekkady,Indoor,Board Game,,,,
Sterling Manali,Indoor,Table Tennis,Free,,Only for inhouse guests,
Sterling Manali,Indoor,Pool Table,150+18%,30 Minutes,,Max 30 Pax
Sterling Manali,Indoor,Video Game,150+18%,30 minutes,,
Sterling Manali,Indoor,Board Games,Free,,,
Sterling Manali,Indoor,"DJ, Karaoke",Free,,,
Sterling Manali,Outdoor,River Side Walk,350/- Per Person,01 Hour,,1-5 guests
Sterling Manali,Outdoor,Village tour,350/- Per Person,01 Hour,,1-5 guests
Sterling Manali,Outdoor,Apple Orchard,350/- Per Person,01 Hour,,1-5 guests
Sterling Kufri,Indoor,Pool Table,200+GST per hour,30 Minutes,,
Sterling Kufri,Indoor,PS4,200+GST per hour,60 Minutes,,
Sterling Kufri,Indoor,VR Games,200+ GST per game,,,
Sterling Kufri,Indoor,Board Games,Non Chargeable,,,
Sterling Kufri,Indoor,Archery,200+ GST 10 arrows,,,
Sterling Kufri,Indoor,Tatto,100+ GST,,,
Sterling Kufri,Indoor,Hobby Classes,200+ GST,,,
Sterling Kufri,Outdoor,Deshu Peak Trek,500+GST,,,
Sterling Kufri,Outdoor,River Rafting,1500+GST,,,
Sterling Kufri,Outdoor,Village Trek,1200+GST,,,
Sterling Gir,Indoor,Chess,Complimentary,,,
Sterling Gir,Indoor,Carrom Board,Complimentary,,,
Sterling Gir,Indoor,Ludo,Complimentary,,,
Sterling Gir,Indoor,Foos Ball,Complimentary,,,
Sterling Gir,Indoor,Table Tennis,Complimentary,,,
Sterling Gir,Outdoor,Cycles,Complimentary,,we have 5 cycles,
Sterling Gir,Outdoor,Trampolin,Complimentary,,,
Sterling Gir,Outdoor,Kids play area,,,,
Sterling Gir,Outdoor,Safari,,,,
Sterling Lonavala,Indoor,Table Tennis,,,,
Sterling Lonavala,Indoor,Pool Table,100 Plus 18% GST plus 5% service charges,,,
Sterling Lonavala,Indoor,Carom,,,,
Sterling Lonavala,Indoor,Ludo,,,,
Sterling Lonavala,Indoor,Chees,,,,
Sterling Lonavala,Indoor,Raja Rex Toy,677 plus 18% GST plus 5% service charges,,,
Sterling Lonavala,Indoor,Raja rex key tag,64 Plus 18% GST plus 5% service charges,,,
Sterling Lonavala,Indoor,Air hockey,100 Plus 18% GST plus 5% service charges,,,
Sterling Lonavala,Indoor,Raja Rex Mug,200 18% GST plus 5% service charges,,,
Sterling Lonavala,Outdoor,Nature walk,250 plus 18% GST plus 5% service charges,2hrs,,
Sterling Lonavala,Outdoor,Cycling Adult,100 plus 18% GST plus 5% service charges,30mnts,,
Sterling Lonavala,Outdoor,Cycling Kids,100 plus 18% GST plus 5% service charges,30mnts,,
Sterling Puri,Indoor,Table Tennis,FOC,Unlimited,NA,4 pax max
Sterling Puri,Indoor,Pool Table,100+ GST,30 Min,NA,4 pax max
Sterling Puri,Indoor,Video Game,100+ GST,30 Min,NA,4 pax max
Sterling Puri,Indoor,Air Hockey,100+ GST,12 Min,NA,Two pax max
Sterling Puri,Indoor,Pallet Shooting,100+ GST,Unlimited,400 bullets,Un limited pax
Sterling Puri,Outdoor,Archarery,100+ GST,NO limit,10 Shots,Un limited pax
Sterling Puri,Outdoor,Bon Fire,5000+GST,2 hrs,with Light Music,Un limited pax
Sterling Puri,Outdoor,Karaoke,5000+ GST,2 hrs,with Light Music,Un limited pax
Sterling Puri,Outdoor,DJ Night,10000+GST,2 hrs,Dance wit DJ,Un limited pax
Sterling Puri,Outdoor,Cultural Dance,10000+GST,1 hr,Local Dance,Un limited pax
Sterling Puri,Outdoor,Odissey Dance,15000+ GST,1 hr,Local Dance,Un limited pax
Sterling Kanha,Indoor,Table Tennis,NA,,,
Sterling Kanha,Indoor,Fuss Ball,NA,,,
Sterling Kanha,Indoor,Carrom Board,NA,,,
Sterling Kanha,Indoor,Childhood Board Games,NA,,,
Sterling Kanha,Indoor,Feet the Number,NA,30min,,10 pax / 18 pax
Sterling Kanha,Outdoor,Badminton,,,,
Sterling Kanha,Outdoor,Volley Ball,,,,
Sterling Kanha,Outdoor,Cricket,,,,
Sterling Kanha,Outdoor,Forest Hunt,,,,
Sterling Kanha,Outdoor,Nature Walk,Rs.150/++,1hr,,"Min - 02
 Max -10"
Sterling Kanha,Outdoor,Village Tour,Rs.150/++,1hr,,"Min - 02
 Max -10"
Sterling Kanha,Outdoor,Bird Watching,Rs.1500 (AI),1hr,,Max -06
Sterling Kanha,Outdoor,Bonfire,"Rs. 1000/++
 (Total)",1.5hrs,,
Sterling Kanha,Outdoor,Archery,Rs. 250/-++,,,15 Shorts
Sterling Kanha,Outdoor,Gun Sooting,Rs. 250/-++,,,15 Shorts
Sterling Kanha,Outdoor,E- Cycling Safari,Rs.1000/-++,2 hr,,Per person
Sterling Palavelli Godavari,Indoor,Table Tennis,comp,,,
Sterling Palavelli Godavari,Indoor,Carrom,comp,,,
Sterling Palavelli Godavari,Indoor,Chess,comp,,,
Sterling Palavelli Godavari,Indoor,Board Games,comp,,,
Sterling Palavelli Godavari,Indoor,Badminton Court,comp,,,
Sterling Palavelli Godavari,Indoor,Cricket Kit,comp,,,
Sterling Palavelli Godavari,Outdoor,Burma Bridge,248,15 minutes,,
Sterling Palavelli Godavari,Outdoor,Archery,310,5 minutes,,
Sterling Palavelli Godavari,Outdoor,Speed boat riding,465,20 minutes,,
Sterling Nature Trails Durshet,Indoor,Table Tennis,Nil,08:00am to 8:30pm,,
Sterling Nature Trails Durshet,Indoor,Chess,Nil,08:00am to 8:30pm,,
Sterling Nature Trails Durshet,Indoor,Badminton on request,Nil,08:00am to 8:30pm,,
Sterling Nature Trails Durshet,Indoor,Swimming pool,Nil,08:00am to 6:30pm,,
Sterling Nature Trails Durshet,Outdoor,Zip Line,885/- including 5% tax/ per person for 8 activities,10:00 am to 5:00 pm,Above 13 year,
Sterling Nature Trails Durshet,Outdoor,Burma Bridge,885/- including 5% tax/ per person for 8 activities,10:00 am to 5:00 pm,Above 13 year,
Sterling Nature Trails Durshet,Outdoor,Tyre Bridge,885/- including 5% tax/ per person for 8 activities,10:00 am to 5:00 pm,Above 13 year,
Sterling Nature Trails Durshet,Outdoor,Vertical log,885/- including 5% tax/ per person for 8 activities,10:00 am to 5:00 pm,Above 13 year,
Sterling Nature Trails Durshet,Outdoor,Swinging Tyres,885/- including 5% tax/ per person for 8 activities,10:00 am to 5:00 pm,Above 13 year,
Sterling Nature Trails Durshet,Outdoor,Horizontal Net,885/- including 5% tax/ per person for 8 activities,10:00 am to 5:00 pm,Above 13 year,
Sterling Nature Trails Durshet,Outdoor,Net Climbing,885/- including 5% tax/ per person for 8 activities,10:00 am to 5:00 pm,Above 13 year,
Sterling Nature Trails Durshet,Outdoor,Archery,885/- including 5% tax/ per person for 8 activities,10:00 am to 5:00 pm,Above 13 year,
Sterling Nature Trails Durshet,Outdoor,Bornfire,,,"Yes on Friday, Saturday, Sunday (except monsoon )",
Sterling Nature Trails Sajan,Indoor,Table Tennis,Complimentry,from 8 AM to till 10:00 PM,,
Sterling Nature Trails Sajan,Indoor,Carrom,Complimentry,from 8 AM to till 10:00 PM,,
Sterling Nature Trails Sajan,Indoor,Chess,Complimentry,from 8 AM to till 10:00 PM,,
Sterling Nature Trails Sajan,Indoor,Ludo,Complimentry,from 8 AM to till 10:00 PM,,
Sterling Nature Trails Sajan,Outdoor,"High Rope Course -Wooden Plank Walk,Tyre Walk,Log Walk,Log Swing Walk,Net Walk",,,,
Sterling Nature Trails Sajan,Outdoor,Burma Bridge,,,,
Sterling Nature Trails Sajan,Outdoor,Valley Crossing,885 /- including tax,10:00 Am to 5 Pm,Shoes and sports wear require,
Sterling Nature Trails Sajan,Outdoor,Ladder Climbing,,,,
Sterling Nature Trails Sajan,Outdoor,Kayaking (Seosening),,,,
Sterling Nature Trails Sajan,Outdoor,Archery,,,,
Sterling Nature Trails Sajan,Outdoor,Morning Walk Or Treck,,,,
Sterling Nature Trails Sajan,Outdoor,Treasure Hunt,,,with music on every Friday and Saturday,
Sterling Nature Trails Sajan,Outdoor,Camfire,,,with music on every Friday and Saturday,
Sterling Nature Trails Kundalika,Indoor,Carrom,Nil,08:00am to 10:00pm,,
Sterling Nature Trails Kundalika,Indoor,Chess,Nil,08:00am to 10:00pm,,
Sterling Nature Trails Kundalika,Indoor,Ludo,Nil,08:00am to 10:00pm,,
Sterling Nature Trails Kundalika,Indoor,Badminton on request,Nil,08:00am to 10:00pm,,
Sterling Nature Trails Kundalika,Outdoor,Burma Bridge,885/- including taxes,09:30 am to 11:30 am & 04:30 pm to 06:00 pm,"Above 12 years, The activity setup is in the forest, the road is up and down, so it is important to wear comfortable footwear. Light weight clothes are necessary for the activity.",
Sterling Nature Trails Kundalika,Outdoor,Zip Line,885/- including taxes,09:30 am to 11:30 am & 04:30 pm to 06:00 pm,"Above 12 years, The activity setup is in the forest, the road is up and down, so it is important to wear comfortable footwear. Light weight clothes are necessary for the activity.",
Sterling Nature Trails Kundalika,Outdoor,Tarzan Swing,885/- including taxes,09:30 am to 11:30 am & 04:30 pm to 06:00 pm,"Above 12 years, The activity setup is in the forest, the road is up and down, so it is important to wear comfortable footwear. Light weight clothes are necessary for the activity.",
Sterling Nature Trails Kundalika,Outdoor,Kayaking,885/- including taxes,09:30 am to 11:30 am & 04:30 pm to 06:00 pm,"Above 12 years, The activity setup is in the forest, the road is up and down, so it is important to wear comfortable footwear. Light weight clothes are necessary for the activity.",
Sterling Nature Trails Kundalika,Outdoor,Bornfire,,,"Yes on Friday, Saturday, Sunday (except monsoon )",
Sterling Park Kalimpong,Indoor,Foosball,complimentary,,,
Sterling Park Kalimpong,Indoor,Board Game,complimentary,,,
Sterling Park Kalimpong,Outdoor,Nature Walk,250 all inclusive,45min,,Minimum 2 and Maximun 15
Sterling Park Kalimpong,Outdoor,Paragliding,3500,2hrs,,Minimum 1 and Maximun 20
Sterling Park Kalimpong,Outdoor,Rafting,1500/3500,15 to 30 Mins,,Minimum 4 pax and Maximum 20
Sterling Park Kalimpong,Outdoor,Bonefire,2500,1 to 2 hrs,,Minimum 2 and Maximun 20
Sterling Mount Abu,Indoor,Table Tennis,,,,
Sterling Mount Abu,Indoor,Pool Table,100+tax,30mnts,,4 people
Sterling Mount Abu,Indoor,Carom,,,,
Sterling Mount Abu,Indoor,Ludo,,,,
Sterling Mount Abu,Indoor,Chees,,,,
Sterling Mount Abu,Indoor,Raja Rex Toy,677+Tax,,,
Sterling Mount Abu,Indoor,Magnet ( Momentous),64+Tax,,,
Sterling Mount Abu,Indoor,Raja Rex Mug,200+Tax,,,
Sterling Mount Abu,Outdoor,Nature walk,300+tax,2hrs,,minimum 3
Sterling Mount Abu,Outdoor,Cycling Adult,100+Tax,30mnts,,
Sterling Mount Abu,Outdoor,Cycling Kids,75+tax,30mnts,,
Sterling Mount Abu,Outdoor,Bon fire,2000+ Tax,60 mnts,Only Nov to Feb,Minimum 2
Sterling Ooty Fern Hill,Indoor,Table Tennis,NA,,,Min 2/Max 4
Sterling Ooty Fern Hill,Indoor,Zenga,NA,,,Min 2/Max 4
Sterling Ooty Fern Hill,Indoor,Connect 4,NA,,,Min 2/Max 4
Sterling Ooty Fern Hill,Indoor,Carrom,NA,,,Min 2/Max 4
Sterling Ooty Fern Hill,Indoor,Chess,NA,,,Min 2/Max 2
Sterling Ooty Fern Hill,Indoor,Chess,NA,,,Min 2/Max 3
Sterling Ooty Fern Hill,Indoor,Cricket,NA,,,Group
Sterling Ooty Fern Hill,Indoor,Air Hockey,100+(18% Gst + 5% SC),10 min,,Min 2/Max 2
Sterling Ooty Fern Hill,Indoor,Pool Table,100+(18% Gst + 5% SC),30 mins,,Depend
Sterling Ooty Fern Hill,Indoor,Ps3,100+(18% Gst + 5% SC),15 mins,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,VR Game,200+(18% Gst + 5% SC),10 min,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,VR Game Stand Alone,200+(18% Gst + 5% SC),10 min,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Car simulator,200+(18% Gst + 5% SC),20 min,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Canvas Painting Small,250+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Canvas Painting Medium,350+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Canvas Painting Big,400+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Canvas Painting with stand,600+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Glass Painting,400+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Wooden painting,250+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Circle MDF painting SS,200+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Circle MDF painting S,250+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Circle MDF painting M,350+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Circle MDF painting,400+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Square MDF painting ss,200+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Square MDF painting,250+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Square MDF painting,350+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Square MDF painting,400+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Heart MDF painting ss,150+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Heart MDF painting S,200+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Heart MDF painting M,250+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Heart MDF painting L,350+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Square MDF painting,400+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Bottle Painting,300+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Emboss painting,400+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Quelling Card,300+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Greeting Card Making,NA,,,
Sterling Ooty Fern Hill,Indoor,Paper craft,NA,,,
Sterling Ooty Fern Hill,Indoor,Paper Drawing,NA,,,
Sterling Ooty Fern Hill,Outdoor,Paint ball,127+(18% Gst + 5% SC),10 shots,,Min 1/Max 1
Sterling Ooty Fern Hill,Outdoor,Archery,127+(18% Gst + 5% SC),8 shots,,Min 1/Max 1
Sterling Ooty Fern Hill,Outdoor,Trampolin,121+(18% Gst + 5% SC),10 mins,They can jump alone or jump together,Min 1/Max 2
Sterling Ooty Fern Hill,Outdoor,High Rope,423+(18% Gst + 5% SC),,,Min 1/Max 2
Sterling Ooty Fern Hill,Outdoor,Low Rope,338+(18% Gst + 5% SC),,,Min 1/Max 2
Sterling Ooty Fern Hill,Outdoor,wall climbing,338+(18% Gst + 5% SC),,,Min 1/Max 2
Sterling Ooty Fern Hill,Outdoor,Zipline,250+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Outdoor,Badga Dance,15000+(18% Gst + 5% SC),,,Group
Sterling Ooty Fern Hill,Outdoor,Toda Dance,15000+(18% Gst + 5% SC),,,Group
Sterling Ooty Fern Hill,Outdoor,Bonfire with music,12000+(18% Gst + 5% SC),,,Group
Sterling Ooty Fern Hill,Outdoor,Team Building Activity,15000+(18% Gst + 5% SC),,,Group
Sterling Ooty Fern Hill,Outdoor,Jeep Safari,7500+(18% Gst + 5% SC),,,Min 1/Max 5
Sterling Ooty Fern Hill,Outdoor,Cairnl Trekking,300+(18% Gst + 5% SC),,,Group
Sterling Ooty Fern Hill,Outdoor,Lavdale Trekking,300+(18% Gst + 5% SC),,,Group
Sterling Ooty Fern Hill,Outdoor,valley view point,400+(18% Gst + 5% SC),,,Group
Sterling Ooty Fern Hill,Outdoor,Organic Farm Visit,2000+(18% Gst + 5% SC),,INR. 2000+tax Charges is for Min 1/Max 4,Group
Sterling Ooty Fern Hill,Outdoor,Tribal Interaction,300+(18% Gst + 5% SC),,,Group
Sterling Wayanad,Indoor,Table Tennis,Comp,,,
Sterling Wayanad,Indoor,Foosball,Comp,,,
Sterling Wayanad,Indoor,Board Games,Comp,,,
Sterling Wayanad,Indoor,Kids corner with soft toys,Comp,,,
