primary_name,Name,Type,Timing,Location,A'La'Carte_Buffet_both,Covers,AvgSpendPerPerson,Cuisine,Entertainment,USP,Any Spl Remark
Sterling Lonavala,Junuifer,Restaurant,07:30 AM to 10:30 PM,Lobby Level,,,,Multicuisine,Channel Music,Mahrashtrain Maharaja Thali & Special Moctails Menu,
Sterling Puri,Utkala,Restaurant,07:30 AM to 10:30 PM,Ground Floor,Both,120,INR 800,Mixed,Channel Music,Located over looking to swimming pool with Spacious seating layout with chair and sofa seats. Live counter for buffet. Local Authentic Odia food is must try,
Sterling Puri,Amo Odisha,Restaurant,12:30 PM to 10:30 PM,Ground Floor near Spa,A la carte only,38,750,Authentic Odia Dishes,Channel Music,"Located over looking to swimming pool with Spacious seating, opeartional during lunch and Dinne. Authentic Odia dishes are served",
Sterling Kanha,,Restaurant,07:30 AM to 10:30 PM,LL,Both,42,Rs.750/-,"Indian, Oriental, Continental with limited choices of Local Specialities",Channel Music,Centrally located with pond facing,
Sterling Kanha,,Bar,,,,,,,,,
Sterling Kanha,,Pool Bar,,,,,,,,,
Sterling Kanha,,Tea Lounge,,,,,,,,,
Sterling Kanha,,Bar @ Lawn,,,,,,,,,
Sterling Palavelli Godavari,Konaseema,Restaurant,07:30 AM to 10:30 PM,Lobby Level,Ala carte. Buffet on Request,64,750 - 1000,Multi cusine,,Multicuisine restaurant serving specialties from koonaseema cuisine as well,
Sterling Palavelli Godavari,,ROOM SERVICE,07:30 AM to 10:30 PM,,ALA CARTE,51 ROOMS,,,,,
Sterling Palavelli Godavari,,Banquets 150 - 300 pax,,,,,,,,,
Sterling Nature Trails Durshet,,Dining hall,"Breakfast - 08:30 AM to 10:00 AM, 
 Lunch - 01:30 PM to 03:00 PM, 
 Dinner - 08:00 PM to 10:00 PM",Lobby Level,Buffet,234,800 to 1000,Mix indian cusine,,Earthen flooring,Maharashtrian food
Sterling Nature Trails Durshet,,Main Ground,,,,300,,,,,
Sterling Nature Trails Durshet,,Confrenance hall,,,,90,,,,,
Sterling Nature Trails Sajan,,Dinning,08:30 AM to 10:30 PM,Lobby Level,Buffet,180,800 to 1000 per peson,Mixed,No,Warli Painting On dinning Wall,Maharashrian Food
Sterling Nature Trails Kundalika,,Dinning hall,"Breakfast - 07:30 AM to 10:00 AM, 
 Lunch - 01:30 PM to 03:00 PM, 
 Dinner - 08:00 PM to 10:00 PM",Lobby Level,Buffet,234,800 to 1000,Mix indian cusine,,Earthen flooring,Maharashtrian food
Sterling Nature Trails Kundalika,,Main Ground,,,,300,,,,,
Sterling Nature Trails Kundalika,,Confrenance hall,,,,90,,,,,
Sterling V Grand Madurai,Grand Ayyanaar Restaurant,Restaurant,07:30 AM to 11:00 PM,Lobby Level,Breakfast Buffet,52,500,"Local Specialties , SouthIndian , Indian , Chinese",Channel Music,"Mutton Biriyani , Kari Dosa , Mutton Sukka , Roganjosh","For Groups we customise menus based on request , Jain food available based on request"
Sterling V Grand Madurai,Sterling Local Bar,Bar,11:00 AM to 11:00 PM,Basement,Alacarte,90,700,"Imported , IMFL beers and liquors ,Local Specialties , SouthIndian , Indian , Chinese",DJ on weekend (Saturday ),"Creative cocktails , Biggest bar in Madurai , Ladies / Couple friendly",Above 21 yrs only allowed
Sterling V Grand Madurai,Upper Deck,Pool side Alfresco Dining,08:00 PM to 11:00 PM,2nd floor,Alacarte,40,900,BBQ & Grills,Channel Music,"Live Grills on table , cocktails with local ingredients","Ideal for 50 pax Pool parties, birthdays parties, Romantic Dinners"
Sterling Guruvayur,Varishta,Restaurant,07:30 AM to 10:30 PM,Lobby Level,both,68,450/-,pure Veg,,kerala sadhya is the USP,kerala sadhya is available for pre booked customers
Sterling Park Kalimpong,Kokomendo,Restaurant,07:30 AM to 10:30 PM,Lobby Level,both,30,600,Mixed,Channel Music,Local Cusine,
Sterling Park Kalimpong,Sterling Local,Bar,11:00 AM to 10:30 PM,Lobby Level,A La Carte,10,750,Mixed,Channel Music,,kids not allowed
Sterling Park Kalimpong,Courtyard,Open Air Sit Out,07:30 AM to 10:30 PM,Lobby Level,A La Carte,12,350,Mixed,Channel Music,Local Cusine,
Sterling Park Kalimpong,Patio,Tea Lounge,07:30 AM to 10:30 PM,Lobby Level,A La Carte,9,350,Mixed,Channel Music,,Tea Lounge cum Open bar serving area
Sterling Mount Abu,Aravali,Restaurant,07:30 AM to 10:30 PM,Level ( Minus)-1,Both,62,821,Multi Cusine,Channel Music,Rajasthani Food,Pets are Not allowed
Sterling Mount Abu,Local,Bar,11:00 AM to 11:00 PM,Lobby Level,Only Drinks & Bites,32,436,Only Sancks & Drinks,Channel Music,Cocktails & Mocktails,Below 18yrs not allowed
Sterling Ooty Fern Hill,The Fern,Restaurant,07:30 AM to 10:30 PM,Lobby Level,Both,150,1200,Multicuisine,Channel Music,"Atrium restaurant, view to beautiful lawn.",Alcoholic beverages can be served as per the guests requests. Open from 0730 hrs to 2300 hrs.
Sterling Ooty Fern Hill,Local,Restobar,11:00 AM to 11:00 PM,Lobby Level,A-la-carte,20,700,Bespoke cuisine,"Week end DJs, Screening of sports","Bespoke cocktails,mocktails special food and beverages curated with local ingredients served.","Guests under 21 yrs are not allowed, open from 1100 hrs to 2300 hrs."
Sterling Wayanad,Machan,Restaurant,07:30 AM to 10:30 PM,Near Swimming pool,,105,,Multicuisine,Channel Music,"Serves multi-cuisine delicacies. 
 The restaurant offers buffet and an a la carte menu to choose from. 
 Traditional Wayanadan delicacies.",Buffet and A la carte restaurent
Sterling Wayanad,Malabar Pavilion,Restaurant,12.30 PM to 3:00 PM and 7:00 PM to 10.30 PM,Near to Lobby,,24,,Malabar cuisine,Channel music,"the forest view, The traditional malabar cuisines",Alacarte menu from selected malabar cuisines
Sterling Pushkar,The Hub,Restaurant,All Day Dinning,Lobby level,Both,54,800,Multi cuisine (Pure Veg),Channel Music,Authentic Rajasthani Food,pool view.
Sterling Aravalli,Airavat,Multi cuisine,"Breakfast - 07.00 AM to 10.30 AM.
 Lunch - 12:30 PM to 03:30 PM
 and Dinner - 07:30 PM to 01:30 PM",Ground Floor,both,68,1900,Multi cuisine,Channel Music,Multi cuisine restaurant overlooking the Pool,
Sterling Banashree Badami,Vatapi,Restaurant,07:30 AM to 10:30 PM,1ST FLOOR,Both,50,INR 500,Mixed,,Located over looking to coconut tree with Spacious seating layout with chair and only buffet. Local Authentic south indian food is must try,
Sterling Rewild Sariska,The Crust,Restaurant,All Day Dinning,Lobby level,Both,40,800,Multi cuisine (Nonveg/ Veg),Channel Music,Authentic Rajasthani Food,
Sterling Stolen Heaven,Vann,Multi Cusine Restaurant,07:00 AM to 11:00 PM,Lotus Block,,80,,,Muticuisine,Rustic interiors and alfresco seating,
Sterling Stolen Heaven,Retro,Coffee Shop,11:00 AM to 11:00 PM,Jasmine Block,,36,,,Small bites,rustic interiors,
Sterling Marbella Dehradun,Dreamers Restaurant,Restaurant,07:30 AM to 10:30 PM,4th Floor,both,80,1200,Multicuisine,Channel Music & Live music on demand,Rooftop with mussoorie view with spanish cuisine,Designated smoking area
Sterling Marbella Dehradun,Dreamers Bar,Bar,11:00 AM to 11:00 PM,4th Floor,both,80,800,all brands,Channel Music & Live music on demand,Dreamers Special cocktail Pineapple Blush & LIIT,
Sterling Marbella Dehradun,Conference Room,Meeting hall,08:00 AM to 10:00 PM,3rd Floor,Both,30,,Multicuisine,Channel music,,
Sterling Marbella Dehradun,Soulfit,Cloud Kitchen,07:30 AM to 10:30 PM,4th floor,Packing,NILL,360,continental & Indian,NILL,Healthy food,NILL
Sterling Yelagiri,Anthurium,Restaurant,07:30 AM to 10.30 PM,Lobby level,both,110,950,Mixed,Channel Music,Local cusine (Bamboo Biryani),Nil
Sterling Anaikatti,Gaja Hut,Restaurant,07:30 AM to 10:30 PM,Lobby level,,52,,Multi Cuisine,Channel Music,,
Sterling Darjeeling,Delicacies,Multi cuisine,07:30 AM to 10:30 AM Breakfast/12:30 PM to 03:30 PM Lunch and 07:30 PM to 01:30 AM Dinner,First floor,both,84,850,Multi cuisine,Channel Music,Multi cuisine restaurant overlooking Mt. Kanchanjangha,Elevator access
Sterling Darjeeling,Ambrosia,Himalayan cuisine,07:30 AM to 10:30 AM Breakfast/12:30 PM to 03:30 PM Lunch and 07:30 PM to 01:30 AM Dinner,First floor,A'la Carte,28,1000,Himalayan cuisine,Channel music,the place is perfect for special dinner with décor.,Elevator access
Sterling Darjeeling,Teesta,Bar,11:00 AM to 10:00 PM,First floor,,,,,,,kids not allowed
Sterling Kodai Valley,Valley view,Restaurant,07:30 AM to 10:30 PM,FL,,110,,Multicuisine,Channel Music,Regional Food,
Sterling Kodai Valley,Sterling Local Resto Bar,Bar,11:00 AM to 11:00 PM,FL,,36,,All Domestic and International beverages and Multi cuisine food,Live Sports and Channel Music,Signature Cocktails,
Sterling Nainital,Tadka,Restaurant,07:30 AM to 10:30 PM,2nd flover,both,72,600,Mixed,Channel Music,Kumauni Thali,
Sterling Goa Varca,Casa Varca,Restaurant,Lobby Level,0700-2300,Lobby Level,85,1500 for 2,Multi cuisine,Channel Music,,live kitchen
Sterling Goa Varca,Sterling Local,Bar,Lobby Level,1100-2300,Lobby Level,42,1000 for 2,Local & Continental,weekend live band,Local Flavours (Cocktails & Mocktails with snacks),2 lift access - 6 capacity each
Sterling Gangtok Orange Village,Suntaley Chulo,Multicusine,11:00 AM to 10:30 PM,FL,both,72,1180,MultiCusine,,Tandoor Items,Few Stairs
Sterling Gangtok Orange Village,Suntaley Chulo,Bar,11:00 AM to 10:30 PM,FL,both,72,800 to 1200,MultiCusine,Channel Music,,Few Stairs
Sterling Padam Pench,Alikatta,Restaurant,08:00 AM to 10:30 PM,Ground level,Both,68,1500,Mixed,,,Taste of Food is best among all resort in pench
Sterling Mantra Haridwar,Golden Leaf,Restaurant,07:30 AM to 10:30 PM,Lobby Level,Breakfast Buffet & A' La' carte,48,500 Veg/ 700 Non Veg,"Indian cuisine, Chinese, Continental",Instrumental Music,"Mutton Rogan Josh, Dal Makhani","For Groups we customise menus based on request , Jain food available based on request"
Sterling Mantra Haridwar,Crystal Hall,Banquet,Depend on function / As Per Session,First floor,Buffet,70 TO 80,800 Veg/ 1000 Non Veg,"Indian cuisine, Chinese cuisine, Continental cuisine",As per guest choice ( DJ),"Chicken Tikka, Grilled Fish","Guest choice menu, DJ ,Decoration, kitty, cocktail / PA System"
Sterling Shivalik Chail,,Restaurant,07:30 AM to 10:30 PM,Lobby level,both,50,500-600,Multi Cuisine,LED TV,Balconies available in restaurant,Balcony available
Sterling Legacy Shimla,Shimla Zero One,,,,,,,,,,
Sterling Panchgani,Silver Oak Restaurant,Restaurant,07:30 AM to 10:30 PM,Ground Floor near Kitchen,,26,,Multi Cusine with Local specialities,Music,Serves multi-cuisine delicacies. The restaurant offers a la carte menu to choose from. Try chef special local cusine,A la carte and buffet restaurant
Sterling Vythiri Wayanad,Spring Valley,Restaurant,08:00 AM to 10:30 PM,near reception,,76,,Multi with Local specialities,Music/ TV,Serves multi-cuisine delicacies. The restaurant offers a la carte menu to choose from. Try chef special local cusine,A la carte restaurent
Sterling Balicha Udaipur,Rajwadi,Restaurant,07:30 AM to 10:30 PM,Lobby Level,Both,32,1000,Multi-Cuisine,Swimming Pool,Aravali View,"Local Cusine, Rajasthani Food Options"
Sterling Balicha Udaipur,Local,Bar,11:00 AM to 10:00 PM,Lobby Level,A'la'Carte,12,1000,Local Specialities,Ambient Music,Rustic/Royal Theme,
Sterling Corbett,Tree House,Multi Cusine Restaurant,07:30 AM to 10:30 PM,,Both,36,350,Mixed,Channel Music,Local Kumauni Preparations,We have Open Sitout Area
Sterling Athirappilly,The Waterfront,All Day Dining,07:30 AM to 10:30 PM,Lobby level,A'la'Carte/ TDH,72,INR 550 - 950,Multi Cuisine,Surround Music/ Culturals on selected days,Kerala/ Khadar Tribal Cuisine,Chef curated Seasonal Choices
Sterling Athirappilly,IRD,In Room Dining,07:30 AM to 10:30 PM,Lobby level,A'la'Carte,30 Keys,INR 750 - 1000,Multi Cuisine,,,Chef curated Seasonal Choices
Sterling Athirappilly,The Hornbill,Lounge,07:30 AM to 10:30 PM,Lobby level,Coffee Lounge,20,INR 250 - 500,Beverages/Snacks,Surround Music,Exclusive selection of Tea/Coffee,
"
 Sterling City Centre Bokaro",The Hub,Restaurant,07:30 AM to 10:30 PM,Ground Floor,Both,68,INR 750,"Café,Pre Plated",Channel Music,,Has a small garden area with High table.
"
 Sterling City Centre Bokaro",Melange,Restaurant,"12:00 PM to 03:30 PM
 07:00 PM to 10:30 PM",Ground Floor,A la carte only,55,850,Global Cuisine,Channel Music,Preplated food from acroos the globe,
"
 Sterling City Centre Bokaro",Aurum(Bar),BAR,12:30 PM to 10:30 PM,Ground floor,A la carte only,40,850,Mixed,"Channel Music,DJ on weekends.",Only Inhouse pub in city with DJ & Dance floor,
"
 Sterling City Centre Bokaro",Atrium,Restaurant,03:30 PM to 10:30 PM,1St Floor,A la carte only,58,750,Mixed,Channel Music,Only lounge bar in city with atrium view of rooms.,
Sterling Orient Woods,Sigri,Restaurant,08:00 AM to 10:30 PM,Ground level,Both,54,1000,Mixed,,Open Air restaurant with overview of garden,Taste of Food is best among all resort in pench
Sterling Nainital,Tadka,Restaurant,07:30 AM to 10:30 PM,2nd floor,both,72,600,Mixed,Channel Music,Kumauni Thali,
Sterling Corbett,Tree House,Multi Cusine Restaurant,07:30 AM to 10:30 PM,,Both,36,350,Mixed,Channel Music,Local Kumauni Preparations,We have Open Sitout Area
